




2026-04-21T00:00:00,964+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BGP] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 7BD0FDED79630DE697EE9BC8E7575FBC, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:05:00,947+0000  INFO [ajp-nio-127.0.0.1-8011-exec-4] [R0000BGx] - UserId : casa, UserName : casa, AuthSource : unknown, Session : EB7605FF660635634EF52565FDB5C4DA, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:10:00,935+0000  INFO [ajp-nio-127.0.0.1-8011-exec-9] [R0000BHT] - UserId : casa, UserName : casa, AuthSource : unknown, Session : DE340640B538C76C16A6983A254E4BB4, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:15:01,001+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BHv] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 96709EC9547D0321F805E7BF7AC62438, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:20:00,975+0000  INFO [ajp-nio-127.0.0.1-8011-exec-1] [R0000BIO] - UserId : casa, UserName : casa, AuthSource : unknown, Session : B1C93D5DB9C6E16A3715DD1220D2EFFD, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:25:00,968+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BIq] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 32C21FC66F45D1654324F01CDCAF19D0, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:30:00,947+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BJH] - UserId : casa, UserName : casa, AuthSource : unknown, Session : FCC010F0BED7BE141642D7DB27F4A7BF, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:35:00,995+0000  INFO [ajp-nio-127.0.0.1-8011-exec-7] [R0000BJm] - UserId : casa, UserName : casa, AuthSource : unknown, Session : C52909C2DD642D9F15907CF719881D1C, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:40:00,992+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BKH] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 6AFC975D0AF6662B7F15F0D626B3CC4F, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:45:00,994+0000  INFO [ajp-nio-127.0.0.1-8011-exec-5] [R0000BKj] - UserId : casa, UserName : casa, AuthSource : unknown, Session : 24E55C93A588EAE5C578EECC3874055D, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




2026-04-21T00:50:00,983+0000  INFO [ajp-nio-127.0.0.1-8011-exec-3] [R0000BLD] - UserId : casa, UserName : casa, AuthSource : unknown, Session : D0A49FFB6A78C021C1FF705EED38AEDA, Category : NTP_SERVERS_VERIFY - User verifying NTP servers




